SMILES,He,H2,O2,N2,CO2,CH4
*CC(*)F,0.113943352,-0.568636236,-1.397940009,-2.045757491,-0.939412874,-2.0
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,2.865898395,3.23006536,2.917677075,2.672900166,3.566832012,3.059565958
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,-0.149347903,-0.202552834,-1.420216403,-2.207608311,-0.835478142,-2.251266843
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,2.957356644,3.336996853,2.738538912,2.159031668,3.462686475,2.277365688
*c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,2.290245586,2.549815034,1.926342447,1.418331345,2.553890117,1.607983602
*c1ccc(-c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(C(=O)c%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc5)c5ccccc5C(=O)N4c4ccccc4)cc3)c(C(F)(F)F)c2)cc1,1.595942118,1.678196122,0.636487896,-0.080921908,1.232742063,-0.207608311
*c1ccc(-c2ccc(Oc3ccc4c(c3)C3(CC4(C)C)CC(C)(C)c4ccc(Oc5ccc(-c6ccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8C7=O)cc6)cc5C(F)(F)F)cc43)c(C(F)(F)F)c2)cc1,2.273841963,2.247091443,1.116275588,0.049218023,1.354876423,-0.387216143
*Oc1c(C)cc(C2(c3cc(C)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(C)c3)CC(C)CC(C)(C)C2)cc1C,2.007446554,2.231351153,1.540329475,1.003447065,2.163593108,1.167684523
*Cc1ccc(C*)c(Cl)c1,-0.004364805,-0.180456064,-1.522878745,-2.251811973,-1.337242168,-2.506574547
*CC(*)OC1CCCCC1,1.295271059,1.417387078,0.567026366,-0.004364805,1.133538908,0.093786374
*c1ccc2c(c1)C(=O)N(c1cc(C(=O)Oc3ccc(C(c4ccc(OC(=O)c5ccc(C)c(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)(C(F)(F)F)C(F)(F)F)cc3)ccc1C)C2=O,1.530906717,1.735052047,0.944482672,0.377117857,1.672097858,0.547048324
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,1.548451587,1.714470604,0.913813852,0.330072071,1.530124309,0.453060219
*CCc1cc(Cl)c(*)c(Cl)c1,0.365085933,0.382408461,-0.742405911,-1.567704585,-0.106829947,-1.584612864
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,3.301196003,3.752252904,3.165149632,2.449949145,3.735274666,2.54281719
*/C=C/CC*,1.99844909,2.365488893,1.857272999,1.502273814,2.578563826,1.868628677
*CC(CS(=O)(=O)C(C)C)O*,0.295107178,0.303062217,-0.796967113,-1.508664398,-0.199643191,-1.498312762
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)c(C)c6)CCCCC5)cc4C)cc3C2=O)c1,0.495908525,0.529187378,-0.522878745,-1.214075969,0.077487056,-1.185678564
*Oc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1O*,2.591359079,2.906223774,2.402140283,1.842422971,3.20870803,2.13203854
*CC(CCl)O*,0.740362689,0.949390007,0.021189299,-0.356547324,0.721086548,-0.16181288
*CCc1ccc(*)c(Cl)c1,0.121281764,0.079180377,-1.325879851,-2.16650047,-0.896315546,-2.394220114
*CC(*)(C)C(=O)OCC,0.938707454,1.031234081,0.06069784,-0.657577319,0.698970004,-0.606159179
*c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,1.682953453,1.739000589,0.568201724,-0.214670165,1.204119983,-0.468521083
*c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)(C)C)c3)cc1C(C)(C)C)C2=O,1.815812052,2.015548903,1.278753601,0.722306984,1.899114221,0.869322487
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.204119983,3.591064607,3.322219295,3.113943352,3.857332496,3.51851394
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,0.72427587,0.812406292,-0.150135534,-0.791058354,0.471879566,-0.705269349
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,2.99555577,3.390302464,2.890040419,2.311728272,3.303216407,2.485477532
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.255184267,0.223560202,-0.918430801,-1.608921711,-0.349601196,-1.632542942
*C=CC1CCC(*)C1,1.098602377,1.322219295,0.447158031,0.176091259,1.187520721,0.397940009
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3.693453469,4.12344165,3.771665807,3.248847441,4.441522544,3.454010596
*c1ccc2c(c1)C(=O)N(c1cccc(S(=O)(=O)c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c1)C2=O,1.272278055,1.210623482,-0.13667714,-1.096910013,0.361727836,-1.508638306
*CC(COc1ccc(O*)cc1)OC(C)=O,-0.389135761,-0.467473173,-1.730940079,-2.512492584,-1.143981546,-2.563633015
*CC(*)C,1.03716635,1.129121989,0.209830774,-0.41587539,0.755947491,-0.345261455
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,1.681241237,1.806179974,1.230448921,0.880813592,1.763427994,1.079181246
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,0.51851394,0.469236368,-0.651585639,-1.387348248,-0.167491087,-1.460282523
*CC(*)OC(=O)c1ccccc1,1.025690925,1.123857194,0.197705815,-0.440230074,0.800717078,-0.366511889
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.322219295,3.698970004,3.431363764,3.230448921,3.963787827,3.62324929
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.343479597,0.357535064,-0.730940079,-1.437698963,-0.132883378,-1.423000158
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2.968482949,3.31386722,2.995635195,2.591064607,3.72427587,3.004321374
