log10_co2_permeance_gpu,log10_co2_n2_selectivity,log10_co2_o2_selectivity,optimized_cost
2,1,0.5,116.5603535
2,1,1,76.67575845
2,1,1.5,74.48328508
2,1.5,0.5,86.22087323
2,1.5,1,54.42011136
2,1.5,1.5,55.95849036
2,2,0.5,83.0688715
2,2,1,45.23970773
2,2,1.5,41.94694643
2.5,1,0.5,92.22288413
2.5,1,1,62.05435876
2.5,1,1.5,58.82761834
2.5,1.5,0.5,66.10334955
2.5,1.5,1,38.92422185
2.5,1.5,1.5,38.40985876
2.5,2,0.5,63.51251886
2.5,2,1,34.5134184
2.5,2,1.5,32.16770578
3,1,0.5,84.52670056
3,1,1,54.46604073
3,1,1.5,51.74582369
3,1.5,0.5,59.51577778
3,1.5,1,31.71317813
3,1.5,1.5,30.20423519
3,2,0.5,55.83302514
3,2,1,29.02008295
3,2,1.5,25.69790053
3.5,1,0.5,82.09295362
3.5,1,1,51.27657144
3.5,1,1.5,48.68868215
3.5,1.5,0.5,55.44442824
3.5,1.5,1,28.75255514
3.5,1.5,1.5,26.61279079
3.5,2,0.5,53.40455601
3.5,2,1,25.0506723
3.5,2,1.5,23.52710792
4,1,0.5,81.32333527
4,1,1,50.0485839
4,1,1.5,47.64100137
4,1.5,0.5,54.15695447
4,1.5,1,26.75436694
4,1.5,1.5,24.33933679
4,2,0.5,52.63660663
4,2,1,22.58074526
4,2,1.5,20.33067065
4.5,1,0.5,81.07996057
4.5,1,1,49.94902577
4.5,1,1.5,47.21355331
4.5,1.5,0.5,53.74981952
4.5,1.5,1,25.88125112
4.5,1.5,1.5,23.34168581
4.5,2,0.5,52.39375973
4.5,2,1,21.24344208
4.5,2,1.5,18.8867963
5,1,0.5,81.00299874
5,1,1,49.84816589
5,1,1.5,47.07838235
5,1.5,0.5,53.62107214
5,1.5,1,25.85581648
5,1.5,1.5,22.84325062
5,2,1,21.37766318
5,2,1.5,17.93589746
5.5,1,1,49.8162712
5.5,1,1.5,47.03563755
5.5,1.5,1,25.78754938
5.5,1.5,1.5,22.68563157
5.5,2,1,21.47458709
5.5,2,1.5,17.63519684
6,1,1,49.8061852
6,1,1.5,47.02212045
6,1.5,1,25.76596143
6,1.5,1.5,22.63578805
6,2,1,21.44988782
6,2,1.5,17.54010696
5,2,0.5,52.31696478
5.5,1,0.5,80.97866126
5.5,1.5,0.5,53.58035865
5.5,2,0.5,52.2926801
6,1,0.5,80.97096504
6,1.5,0.5,53.56748391
6,2,0.5,52.2850006
