log10_co2_permeance_gpu,log10_co2_n2_selectivity,log10_co2_o2_selectivity,optimized_cost
2,1,0.5,291.18
2,1.5,0.5,130.83
2,2,0.5,136.21
2,1,1,261.50
2,1.5,1,128.28
2,2,1,147.79
2,1,1.5,263.21
2,1.5,1.5,126.82
2,2,1.5,154.92
2.5,1,0.5,227.91
2.5,1.5,0.5,95.70
2.5,2,0.5,86.84
2.5,1,1,201.33
2.5,1.5,1,88.84
2.5,2,1,88.64
2.5,1,1.5,206.69
2.5,1.5,1.5,87.02
2.5,2,1.5,89.72
3,1,0.5,203.70
3,1.5,0.5,83.91
3,2,0.5,67.13
3,1,1,181.63
3,1.5,1,72.69
3,2,1,63.81
3,1,1.5,166.65
3,1.5,1.5,70.46
3,2,1.5,62.98
3.5,1,0.5,195.56
3.5,1.5,0.5,78.62
3.5,2,0.5,60.36
3.5,1,1,170.87
3.5,1.5,1,64.10
3.5,2,1,51.81
3.5,1,1.5,170.27
3.5,1.5,1.5,62.51
3.5,2,1.5,50.65
4,1,0.5,192.98
4,1.5,0.5,76.78
4,2,0.5,58.23
4,1,1,167.12
4,1.5,1,59.69
4,2,1,45.90
4,1,1.5,157.62
4,1.5,1.5,56.22
4,2,1.5,43.28
4.5,1,0.5,192.08
4.5,1.5,0.5,76.16
4.5,2,0.5,57.55
4.5,1,1,165.93
4.5,1.5,1,58.30
4.5,2,1,43.72
4.5,1,1.5,167.41
4.5,1.5,1.5,54.23
4.5,2,1.5,39.53
5,1,0.5,191.91
5,1.5,0.5,75.96
5,2,0.5,57.34
5,1,1,165.56
5,1.5,1,57.86
5,2,1,43.03
5,1,1.5,162.97
5,1.5,1.5,53.57
5,2,1.5,37.85
5.5,1,0.5,191.83
5.5,1.5,0.5,75.90
5.5,2,0.5,57.27
5.5,1,1,165.44
5.5,1.5,1,57.72
5.5,2,1,42.81
5.5,1,1.5,162.90
5.5,1.5,1.5,53.36
5.5,2,1.5,37.32
6,1,0.5,191.80
6,1.5,0.5,75.88
6,2,0.5,57.25
6,1,1,165.40
6,1.5,1,57.67
6,2,1,42.75
6,1,1.5,162.87
6,1.5,1.5,53.30
6,2,1.5,37.15
